,state,acclength,areacode,interplan,vmailplan,vmailmess,daycalls,daycharge,evecalls,evecharge,nightcalls,nightcharge,intlmins,intlcalls,intlcharge,custservcalls,churn
0,KS,128,415,no,yes,25,110,45.07,99,16.78,91,11.01,10.0,3,2.7,1,no
1,OH,107,415,no,yes,26,123,27.47,103,16.62,103,11.45,13.7,3,3.7,1,no
2,NJ,137,415,no,no,0,114,41.38,110,10.3,104,7.32,12.2,5,3.29,0,no
3,MO,147,415,yes,no,0,79,26.69,94,8.76,96,9.53,7.1,6,1.92,0,no
4,IN,65,415,no,no,0,137,21.95,83,19.42,111,9.4,12.7,6,3.43,4,yes
5,MT,95,510,no,no,0,88,26.62,75,21.05,115,8.65,12.3,5,3.32,3,no
6,VT,93,510,no,no,0,114,32.42,111,18.55,121,5.83,8.1,3,2.19,3,no
7,VA,76,510,no,yes,33,66,32.25,65,18.09,108,7.46,10.0,5,2.7,1,no
8,TX,73,415,no,no,0,90,38.15,88,13.56,74,8.68,13.0,2,3.51,1,no
9,FL,147,415,no,no,0,117,26.37,93,20.37,133,9.4,10.6,4,2.86,0,no
10,AZ,130,415,no,no,0,112,31.11,99,6.2,78,8.18,9.5,19,2.57,0,no
11,SC,111,415,no,no,0,103,18.77,102,11.67,105,8.53,7.7,6,2.08,2,no
12,VA,132,510,no,no,0,86,13.79,72,20.84,115,10.67,10.3,2,2.78,0,no
13,MT,54,408,no,no,0,73,22.83,100,13.22,68,4.59,14.7,4,3.97,3,no
14,MO,20,415,no,no,0,109,32.3,84,21.95,102,8.17,6.3,6,1.7,0,no
15,HI,49,510,no,no,0,117,20.28,109,18.28,90,8.04,11.1,1,3.0,1,no
16,IL,142,415,no,no,0,95,14.42,63,11.62,148,11.27,14.2,6,3.83,2,no
17,NH,75,510,no,no,0,105,38.44,107,17.13,98,11.08,10.3,5,2.78,1,no
18,GA,72,415,no,yes,37,80,37.4,102,18.47,71,6.88,14.7,6,3.97,3,no
19,AK,36,408,no,yes,30,128,24.87,80,13.81,109,5.82,14.5,6,3.92,0,no
20,MA,78,415,no,no,0,64,22.24,116,19.01,108,10.25,10.0,5,2.7,1,no
21,NJ,149,408,no,no,0,94,23.87,92,23.1,108,8.47,11.1,9,3.0,1,no
22,GA,98,408,no,no,0,102,21.47,85,14.18,135,8.45,9.4,2,2.54,3,no
23,MD,135,408,yes,yes,41,85,29.43,107,17.33,78,5.5,14.6,15,3.94,0,yes
24,ID,160,415,no,no,0,77,14.59,110,14.05,92,8.03,9.2,4,2.48,3,no
25,WI,64,510,no,no,0,67,26.18,118,19.19,86,11.94,3.5,3,0.95,1,no
26,OR,59,408,no,yes,28,97,20.55,92,18.11,116,7.34,8.5,5,2.3,2,no
27,MI,65,415,no,no,0,120,35.92,122,13.82,118,6.06,13.2,5,3.56,3,no
28,DE,142,408,no,no,0,133,31.79,74,11.44,127,10.9,7.4,5,2.0,2,no
29,ID,119,415,no,no,0,114,27.05,117,19.66,91,6.44,8.8,3,2.38,5,yes
30,WY,97,415,no,yes,24,135,22.64,58,18.46,79,3.18,11.0,3,2.97,1,no
31,IA,52,408,no,no,0,108,32.62,96,22.93,87,10.66,7.8,5,2.11,3,no
32,IN,60,408,no,no,0,57,37.5,115,17.94,129,11.21,6.8,3,1.84,1,no
33,VA,10,408,no,no,0,112,31.64,66,16.17,57,12.73,11.4,6,3.08,2,no
34,UT,96,415,no,no,0,117,27.23,67,22.74,68,10.28,9.3,5,2.51,2,no
35,WY,87,415,no,no,0,83,25.67,116,18.67,127,9.18,9.7,3,2.62,5,yes
36,CO,141,415,no,no,0,98,21.57,62,15.3,128,6.34,8.0,2,2.16,1,no
37,CO,121,408,no,yes,30,129,33.73,77,6.4,77,8.15,5.8,3,1.57,3,yes
38,WI,68,415,no,no,0,70,25.3,164,20.95,103,5.84,12.1,3,3.27,3,no
39,OK,125,408,no,no,0,103,38.98,126,15.08,95,8.52,12.0,8,3.24,1,no
40,ID,174,408,no,no,0,97,32.66,94,14.44,54,7.5,11.4,4,3.08,1,no
41,CA,116,415,no,yes,34,83,45.66,142,15.15,106,7.48,11.6,3,3.13,2,no
42,MN,74,510,no,yes,33,91,32.93,96,20.92,92,6.21,14.6,3,3.94,2,no
43,SD,149,408,no,yes,28,92,30.72,64,15.96,53,11.95,12.6,3,3.4,3,no
44,WA,40,415,no,yes,41,74,25.18,88,14.41,102,9.63,6.2,5,1.67,2,no
45,WY,43,415,yes,no,0,105,42.76,104,18.09,67,7.1,9.3,4,2.51,0,no
46,MN,113,408,yes,no,0,93,21.28,119,17.54,139,5.82,8.3,8,2.24,0,no
47,TX,150,510,no,no,0,101,30.41,110,14.37,100,6.69,13.8,3,3.73,4,yes
48,NJ,138,408,no,no,0,93,41.11,83,14.49,104,13.29,11.8,7,3.19,3,no
49,NM,147,510,no,no,0,83,42.26,85,12.66,109,7.76,8.0,4,2.16,3,no
50,NV,90,415,no,no,0,146,34.58,117,19.27,105,6.86,7.3,4,1.97,1,no
51,HI,85,415,no,no,0,109,40.09,94,13.36,99,8.47,12.0,3,3.24,0,no
52,MN,50,415,no,no,0,90,26.71,72,18.98,111,8.16,6.1,2,1.65,1,no
53,DC,82,415,no,no,0,109,51.05,100,15.39,73,12.15,11.7,4,3.16,0,yes
54,NY,144,408,no,no,0,117,10.47,85,6.55,99,7.79,8.2,7,2.21,4,yes
55,MN,46,415,no,no,0,72,36.4,104,13.97,113,7.99,8.2,3,2.21,2,no
56,MD,70,408,no,no,0,98,28.93,102,13.19,76,10.29,15.0,2,4.05,1,no
57,WV,144,415,no,no,0,99,34.19,74,25.8,119,10.08,13.2,2,3.56,1,no
58,OR,116,415,yes,no,0,104,36.62,79,17.41,109,12.53,12.6,5,3.4,3,no
59,CO,55,408,no,yes,25,123,28.15,95,11.57,90,7.91,11.0,2,2.97,3,no
